category,file_name,header_correct,header_total,item_correct,item_total,document_all_correct
B_scattered_fields,L2_B_033.json,4,4,15,15,1
B_scattered_fields,L2_B_034.json,4,4,15,15,1
B_scattered_fields,L2_B_035.json,4,4,20,20,1
B_scattered_fields,L2_B_036.json,4,4,10,10,1
B_scattered_fields,L2_B_037.json,4,4,20,20,1
B_scattered_fields,L2_B_038.json,4,4,25,25,1
B_scattered_fields,L2_B_039.json,4,4,10,10,1
B_scattered_fields,L2_B_040.json,4,4,25,25,1
B_scattered_fields,L2_B_041.json,4,4,15,15,1
B_scattered_fields,L2_B_042.json,4,4,20,20,1
B_scattered_fields,L2_B_043.json,4,4,15,15,1
B_scattered_fields,L2_B_044.json,4,4,15,15,1
B_scattered_fields,L2_B_045.json,3,4,20,20,0
B_scattered_fields,L2_B_046.json,4,4,10,10,1
B_scattered_fields,L2_B_047.json,4,4,25,25,1
B_scattered_fields,L2_B_048.json,4,4,25,25,1
B_scattered_fields,L2_B_049.json,4,4,20,20,1
B_scattered_fields,L2_B_050.json,4,4,20,20,1
C_complex_items,L2_C_001.json,4,4,15,15,1
C_complex_items,L2_C_002.json,4,4,15,15,1
C_complex_items,L2_C_003.json,4,4,20,20,1
C_complex_items,L2_C_004.json,3,4,25,25,0
C_complex_items,L2_C_005.json,3,4,10,10,0
C_complex_items,L2_C_006.json,4,4,20,20,1
C_complex_items,L2_C_007.json,4,4,15,15,1
C_complex_items,L2_C_008.json,4,4,25,25,1
C_complex_items,L2_C_009.json,4,4,20,20,1
C_complex_items,L2_C_010.json,4,4,20,20,1
C_complex_items,L2_C_011.json,4,4,10,10,1
C_complex_items,L2_C_012.json,4,4,25,25,1
C_complex_items,L2_C_013.json,4,4,25,25,1
C_complex_items,L2_C_014.json,4,4,10,10,1
C_complex_items,L2_C_015.json,4,4,20,20,1
C_complex_items,L2_C_016.json,4,4,20,20,1
C_complex_items,L2_C_017.json,4,4,20,20,1
C_complex_items,L2_C_018.json,4,4,10,10,1
C_complex_items,L2_C_019.json,4,4,25,25,1
C_complex_items,L2_C_020.json,4,4,15,15,1
C_complex_items,L2_C_021.json,4,4,25,25,1
C_complex_items,L2_C_022.json,4,4,25,25,1
C_complex_items,L2_C_023.json,3,4,25,25,0
C_complex_items,L2_C_024.json,4,4,20,20,1
C_complex_items,L2_C_025.json,4,4,20,20,1
C_complex_items,L2_C_026.json,4,4,25,25,1
C_complex_items,L2_C_027.json,4,4,10,10,1
C_complex_items,L2_C_028.json,4,4,25,25,1
C_complex_items,L2_C_029.json,4,4,20,20,1
C_complex_items,L2_C_030.json,4,4,15,15,1
C_complex_items,L2_C_031.json,4,4,25,25,1
C_complex_items,L2_C_032.json,4,4,25,25,1
C_complex_items,L2_C_033.json,4,4,10,10,1
C_complex_items,L2_C_034.json,4,4,10,10,1
C_complex_items,L2_C_035.json,4,4,10,10,1
C_complex_items,L2_C_036.json,4,4,15,15,1
C_complex_items,L2_C_037.json,4,4,15,15,1
C_complex_items,L2_C_038.json,4,4,25,25,1
C_complex_items,L2_C_039.json,4,4,15,15,1
C_complex_items,L2_C_040.json,4,4,15,15,1
C_complex_items,L2_C_041.json,4,4,10,10,1
C_complex_items,L2_C_042.json,4,4,25,25,1
C_complex_items,L2_C_043.json,4,4,10,10,1
C_complex_items,L2_C_044.json,4,4,10,10,1
C_complex_items,L2_C_045.json,4,4,15,15,1
C_complex_items,L2_C_046.json,4,4,15,15,1
C_complex_items,L2_C_047.json,4,4,20,20,1
C_complex_items,L2_C_048.json,4,4,10,10,1
C_complex_items,L2_C_049.json,4,4,25,25,1
C_complex_items,L2_C_050.json,4,4,20,20,1
D_noise_information,L2_D_001.json,4,4,20,20,1
D_noise_information,L2_D_002.json,4,4,25,25,1
D_noise_information,L2_D_003.json,4,4,25,25,1
D_noise_information,L2_D_004.json,4,4,15,15,1
D_noise_information,L2_D_005.json,4,4,20,20,1
D_noise_information,L2_D_006.json,4,4,25,25,1
D_noise_information,L2_D_007.json,4,4,25,25,1
D_noise_information,L2_D_008.json,4,4,20,20,1
D_noise_information,L2_D_009.json,4,4,15,15,1
D_noise_information,L2_D_010.json,4,4,10,10,1
D_noise_information,L2_D_011.json,4,4,25,25,1
D_noise_information,L2_D_012.json,3,4,15,15,0
D_noise_information,L2_D_013.json,4,4,25,25,1
D_noise_information,L2_D_014.json,4,4,20,20,1
D_noise_information,L2_D_015.json,4,4,25,25,1
D_noise_information,L2_D_016.json,4,4,10,10,1
D_noise_information,L2_D_017.json,3,4,15,15,0
D_noise_information,L2_D_018.json,4,4,25,25,1
D_noise_information,L2_D_019.json,4,4,10,10,1
D_noise_information,L2_D_020.json,4,4,25,25,1
D_noise_information,L2_D_021.json,4,4,15,15,1
D_noise_information,L2_D_022.json,4,4,25,25,1
D_noise_information,L2_D_023.json,4,4,10,10,1
D_noise_information,L2_D_024.json,4,4,15,15,1
D_noise_information,L2_D_025.json,4,4,10,10,1
D_noise_information,L2_D_026.json,4,4,25,25,1
D_noise_information,L2_D_027.json,4,4,20,20,1
D_noise_information,L2_D_028.json,4,4,10,10,1
D_noise_information,L2_D_029.json,4,4,10,10,1
D_noise_information,L2_D_030.json,3,4,25,25,0
D_noise_information,L2_D_031.json,4,4,15,15,1
D_noise_information,L2_D_032.json,4,4,20,20,1
D_noise_information,L2_D_033.json,4,4,20,20,1
D_noise_information,L2_D_034.json,4,4,15,15,1
D_noise_information,L2_D_035.json,4,4,10,10,1
D_noise_information,L2_D_036.json,4,4,10,10,1
D_noise_information,L2_D_037.json,4,4,15,15,1
D_noise_information,L2_D_038.json,4,4,10,10,1
D_noise_information,L2_D_039.json,4,4,25,25,1
D_noise_information,L2_D_040.json,4,4,10,10,1
D_noise_information,L2_D_041.json,4,4,15,15,1
D_noise_information,L2_D_042.json,4,4,10,10,1
D_noise_information,L2_D_043.json,4,4,10,10,1
D_noise_information,L2_D_044.json,4,4,20,20,1
D_noise_information,L2_D_045.json,4,4,20,20,1
D_noise_information,L2_D_046.json,3,4,10,10,0
D_noise_information,L2_D_047.json,4,4,15,15,1
D_noise_information,L2_D_048.json,4,4,20,20,1
D_noise_information,L2_D_049.json,4,4,20,20,1
D_noise_information,L2_D_050.json,4,4,25,25,1
E_mixed_complexity,L2_E_001.json,4,4,15,15,1
E_mixed_complexity,L2_E_002.json,3,4,15,15,0
E_mixed_complexity,L2_E_003.json,4,4,10,10,1
E_mixed_complexity,L2_E_004.json,4,4,15,15,1
E_mixed_complexity,L2_E_005.json,4,4,25,25,1
E_mixed_complexity,L2_E_006.json,4,4,15,15,1
E_mixed_complexity,L2_E_007.json,4,4,15,15,1
E_mixed_complexity,L2_E_008.json,4,4,25,25,1
E_mixed_complexity,L2_E_009.json,4,4,25,25,1
E_mixed_complexity,L2_E_010.json,4,4,10,10,1
E_mixed_complexity,L2_E_011.json,4,4,15,15,1
E_mixed_complexity,L2_E_012.json,4,4,20,20,1
E_mixed_complexity,L2_E_013.json,4,4,10,10,1
E_mixed_complexity,L2_E_014.json,4,4,20,20,1
E_mixed_complexity,L2_E_015.json,4,4,25,25,1
E_mixed_complexity,L2_E_016.json,4,4,25,25,1
E_mixed_complexity,L2_E_017.json,4,4,10,10,1
E_mixed_complexity,L2_E_018.json,4,4,25,25,1
E_mixed_complexity,L2_E_019.json,4,4,25,25,1
E_mixed_complexity,L2_E_020.json,4,4,10,10,1
E_mixed_complexity,L2_E_021.json,4,4,10,10,1
E_mixed_complexity,L2_E_022.json,4,4,25,25,1
E_mixed_complexity,L2_E_023.json,4,4,20,20,1
E_mixed_complexity,L2_E_024.json,4,4,10,10,1
E_mixed_complexity,L2_E_025.json,4,4,15,15,1
E_mixed_complexity,L2_E_026.json,4,4,20,20,1
E_mixed_complexity,L2_E_027.json,4,4,10,10,1
E_mixed_complexity,L2_E_028.json,4,4,25,25,1
E_mixed_complexity,L2_E_029.json,4,4,15,15,1
E_mixed_complexity,L2_E_030.json,4,4,20,20,1
E_mixed_complexity,L2_E_031.json,3,4,15,15,0
E_mixed_complexity,L2_E_032.json,4,4,20,20,1
E_mixed_complexity,L2_E_033.json,4,4,20,20,1
E_mixed_complexity,L2_E_034.json,4,4,10,10,1
E_mixed_complexity,L2_E_035.json,4,4,15,15,1
E_mixed_complexity,L2_E_036.json,4,4,25,25,1
E_mixed_complexity,L2_E_037.json,4,4,25,25,1
E_mixed_complexity,L2_E_038.json,4,4,20,20,1
E_mixed_complexity,L2_E_039.json,4,4,10,10,1
E_mixed_complexity,L2_E_040.json,4,4,10,10,1
E_mixed_complexity,L2_E_041.json,4,4,25,25,1
E_mixed_complexity,L2_E_042.json,4,4,25,25,1
E_mixed_complexity,L2_E_043.json,4,4,20,20,1
E_mixed_complexity,L2_E_044.json,4,4,15,15,1
E_mixed_complexity,L2_E_045.json,4,4,15,15,1
E_mixed_complexity,L2_E_046.json,4,4,25,25,1
E_mixed_complexity,L2_E_047.json,4,4,15,15,1
E_mixed_complexity,L2_E_048.json,4,4,20,20,1
E_mixed_complexity,L2_E_049.json,4,4,15,15,1
E_mixed_complexity,L2_E_050.json,4,4,25,25,1
