file_name,version,category,error_field,level_type,item_index,gt_value,pred_value,ocr_text_path,prediction_path,ground_truth_path,suspected_error_type,notes
L2_B_035,v1_baseline,B,po_number,header,,PO-2024-5345,Po-2024-5345,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_035_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_035_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_035.json,ocr_char_confusion,
L2_B_037,v1_baseline,B,po_number,header,,PO-2025-4271,Po-2025-4271,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_037_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_037_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_037.json,ocr_char_confusion,
L2_B_039,v1_baseline,B,po_number,header,,PO-2025-7732,Po-2025-7732,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_039_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_039_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_039.json,ocr_char_confusion,
L2_B_040,v1_baseline,B,po_number,header,,PO-2025-7828,Po-2025-7828,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_040_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_040_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_040.json,ocr_char_confusion,
L2_B_042,v1_baseline,B,po_number,header,,PO-2026-9530,Po-2026-9530,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_042_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_042_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_042.json,ocr_char_confusion,
L2_B_043,v1_baseline,B,po_number,header,,PO-2026-9759,Po-2026-9759,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_043_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_043_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_043.json,ocr_char_confusion,
L2_B_044,v1_baseline,B,po_number,header,,PO-2026-7253,Po-2026-7253,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_044_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_044_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_044.json,ocr_char_confusion,
L2_B_045,v1_baseline,B,po_number,header,,PO-2025-7280,Po-2025-7280,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_045_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_045_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_045.json,ocr_char_confusion,
L2_B_045,v1_baseline,B,po_date,header,,2024-01-10,2024-10-01,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_045_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_045_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_045.json,date_ambiguity,
L2_B_050,v1_baseline,B,po_number,header,,PO-2025-8277,Po-2025-8277,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_B_050_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_B_050_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/B_scattered_fields/L2_B_050.json,ocr_char_confusion,
L2_C_024,v1_baseline,C,unit,item,1,EA,,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_C_024_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_C_024_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/C_complex_items/L2_C_024.json,structure_break,
L2_C_028,v1_baseline,C,unit,item,3,units,,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_C_028_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_C_028_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/C_complex_items/L2_C_028.json,structure_break,
L2_C_039,v1_baseline,C,po_date,header,,2025-06-11,2025-11-06,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_C_039_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_C_039_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/C_complex_items/L2_C_039.json,date_ambiguity,
L2_D_004,v1_baseline,D,quantity,item,0,6,1,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_D_004_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_D_004_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/D_noise_information/L2_D_004.json,value_misalignment,
L2_D_009,v1_baseline,D,po_date,header,,2024-11-05,2024-05-11,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_D_009_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_D_009_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/D_noise_information/L2_D_009.json,date_ambiguity,
L2_D_015,v1_baseline,D,po_date,header,,2024-05-09,2024-09-05,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_D_015_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_D_015_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/D_noise_information/L2_D_015.json,date_ambiguity,
L2_D_015,v1_baseline,D,unit_price,item,3,49.91,49.9,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_D_015_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_D_015_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/D_noise_information/L2_D_015.json,value_misalignment,
L2_D_050,v1_baseline,D,po_date,header,,2024-03-10,2024-10-03,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_D_050_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_D_050_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/D_noise_information/L2_D_050.json,date_ambiguity,
L2_E_006,v1_baseline,E,po_number,header,,PO-2026-8423,P0-2026-8423,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_E_006_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_E_006_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/E_mixed_complexity/L2_E_006.json,ocr_char_confusion,
L2_E_012,v1_baseline,E,part_number,item,2,DX-830,DXx-830,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_E_012_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_E_012_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/E_mixed_complexity/L2_E_012.json,structure_break,
L2_E_024,v1_baseline,E,po_number,header,,PO-2024-1378,P0-2024-1378,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_E_024_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_E_024_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/E_mixed_complexity/L2_E_024.json,ocr_char_confusion,
L2_E_031,v1_baseline,E,po_number,header,,PO-2025-3575,P0-2025-3575,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_E_031_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_E_031_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/E_mixed_complexity/L2_E_031.json,ocr_char_confusion,
L2_E_031,v1_baseline,E,po_date,header,,2026-02-05,2026-05-02,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_E_031_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_E_031_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/E_mixed_complexity/L2_E_031.json,date_ambiguity,
L2_E_034,v1_baseline,E,po_number,header,,PO-2024-3910,P0-2024-3910,/Users/lvchengen/Documents/Thesis/Level3/dataset/order_level3_ocr_v1_resize_70/L2_E_034_v1.txt,/Users/lvchengen/Documents/Thesis/Level3/result/baseline/v1/L2_E_034_v1.json,/Users/lvchengen/Documents/Thesis/Level3/dataset/ground_truth_level2_source/E_mixed_complexity/L2_E_034.json,ocr_char_confusion,
